Station ID,Name,Elevation (ft),Snow Depth (in),Date,Year
BODU1,BOULDER,6663,2.0,2011-03-01 01:00:00,2011
BODU1,BOULDER,6663,2.0,2015-03-01 01:00:00,2015
BODU1,BOULDER,6663,0.0,2016-02-29 01:00:00,2016
BODU1,BOULDER,6663,0.0,2017-03-01 01:00:00,2017
BODU1,BOULDER,6663,0.0,2018-03-01 01:00:00,2018
BODU1,BOULDER,6663,6.0,2019-03-01 01:00:00,2019
BODU1,BOULDER,6663,0.0,2020-02-29 01:00:00,2020
BODU1,BOULDER,6663,0.0,2021-03-01 00:00:00,2021
BODU1,BOULDER,6663,0.0,2022-03-01 00:00:00,2022
BODU1,BOULDER,6663,4.0,2023-03-01 00:00:00,2023
BODU1,BOULDER,6663,0.0,2024-02-29 00:00:00,2024
CSPU1,CLAYTON SPRINGS,10062,61.0,2011-03-01 05:00:00,2011
CSPU1,CLAYTON SPRINGS,10062,39.0,2012-02-29 05:00:00,2012
CSPU1,CLAYTON SPRINGS,10062,39.0,2013-03-01 05:00:00,2013
CSPU1,CLAYTON SPRINGS,10062,35.0,2014-03-01 05:00:00,2014
CSPU1,CLAYTON SPRINGS,10062,43.0,2015-03-01 05:00:00,2015
CSPU1,CLAYTON SPRINGS,10062,35.0,2016-02-29 05:00:00,2016
CSPU1,CLAYTON SPRINGS,10062,51.0,2017-03-01 05:00:00,2017
CSPU1,CLAYTON SPRINGS,10062,23.0,2018-03-01 05:00:00,2018
CSPU1,CLAYTON SPRINGS,10062,47.0,2019-03-01 05:00:00,2019
CSPU1,CLAYTON SPRINGS,10062,46.0,2020-02-29 04:00:00,2020
CSPU1,CLAYTON SPRINGS,10062,32.0,2021-03-01 01:00:00,2021
CSPU1,CLAYTON SPRINGS,10062,34.0,2022-03-01 04:00:00,2022
CSPU1,CLAYTON SPRINGS,10062,61.0,2023-03-01 05:00:00,2023
CSPU1,CLAYTON SPRINGS,10062,42.0,2024-02-29 05:00:00,2024
CSPU1,CLAYTON SPRINGS,10062,19.0,2025-03-01 05:00:00,2025
DRSU1,DONKEY RESERVOIR,9967,33.0,2011-03-01 05:00:00,2011
DRSU1,DONKEY RESERVOIR,9967,35.0,2012-02-29 05:00:00,2012
DRSU1,DONKEY RESERVOIR,9967,26.0,2013-03-01 05:00:00,2013
DRSU1,DONKEY RESERVOIR,9967,25.0,2014-03-01 05:00:00,2014
DRSU1,DONKEY RESERVOIR,9967,35.0,2015-03-01 05:00:00,2015
DRSU1,DONKEY RESERVOIR,9967,12.0,2025-03-01 05:00:00,2025
ECSU1,ESCALANTE,5843,0.0,2011-03-01 00:00:00,2011
ECSU1,ESCALANTE,5843,0.0,2012-02-29 00:00:00,2012
ECSU1,ESCALANTE,5843,0.0,2013-03-01 00:00:00,2013
ECSU1,ESCALANTE,5843,0.0,2014-03-01 00:00:00,2014
ECSU1,ESCALANTE,5843,3.0,2015-03-01 00:00:00,2015
ECSU1,ESCALANTE,5843,0.0,2016-02-29 00:00:00,2016
ECSU1,ESCALANTE,5843,0.0,2017-03-01 00:00:00,2017
ECSU1,ESCALANTE,5843,0.0,2018-03-01 00:00:00,2018
ECSU1,ESCALANTE,5843,3.0,2019-03-01 00:00:00,2019
ECSU1,ESCALANTE,5843,0.0,2020-02-29 00:00:00,2020
ECSU1,ESCALANTE,5843,0.0,2021-03-01 00:00:00,2021
ECSU1,ESCALANTE,5843,0.0,2022-03-01 00:00:00,2022
ECSU1,ESCALANTE,5843,0.0,2023-03-01 00:00:00,2023
ECSU1,ESCALANTE,5843,0.0,2024-02-29 00:00:00,2024
KODU1,KODACHROME BASIN PARK,5833,0.0,2012-02-29 00:00:00,2012
KODU1,KODACHROME BASIN PARK,5833,0.0,2013-02-28 23:00:00,2013
KODU1,KODACHROME BASIN PARK,5833,0.0,2014-02-28 23:00:00,2014
KODU1,KODACHROME BASIN STATE PARK,5784,0.0,2025-02-28 23:00:00,2025
SFFU1,SUNFLOWER FLAT,10033,29.0,2016-02-29 05:00:00,2016
SFFU1,SUNFLOWER FLAT,10033,54.0,2017-03-01 03:00:00,2017
SFFU1,SUNFLOWER FLAT,10033,19.0,2018-03-01 05:00:00,2018
SFFU1,SUNFLOWER FLAT,10033,57.0,2019-03-01 05:00:00,2019
SFFU1,SUNFLOWER FLAT,10033,36.0,2020-02-29 05:00:00,2020
SFFU1,SUNFLOWER FLAT,10033,17.0,2021-03-01 03:00:00,2021
SFFU1,SUNFLOWER FLAT,10033,35.0,2022-03-01 04:00:00,2022
SFFU1,SUNFLOWER FLAT,10033,63.0,2023-03-01 05:00:00,2023
SFFU1,SUNFLOWER FLAT,10033,32.0,2024-02-29 05:00:00,2024
SFFU1,SUNFLOWER FLAT,10033,8.0,2025-03-01 05:00:00,2025
WSTU1,WIDTSOE #3,9665,50.0,2011-03-01 05:00:00,2011
WSTU1,WIDTSOE #3,9665,33.0,2012-02-29 05:00:00,2012
WSTU1,WIDTSOE #3,9665,29.0,2013-03-01 05:00:00,2013
WSTU1,WIDTSOE #3,9665,28.0,2014-03-01 03:00:00,2014
WSTU1,WIDTSOE #3,9665,37.0,2015-03-01 05:00:00,2015
WSTU1,WIDTSOE #3,9665,31.0,2016-02-29 05:00:00,2016
WSTU1,WIDTSOE #3,9665,43.0,2017-03-01 05:00:00,2017
WSTU1,WIDTSOE #3,9665,14.0,2018-03-01 05:00:00,2018
WSTU1,WIDTSOE #3,9665,43.0,2019-03-01 05:00:00,2019
WSTU1,WIDTSOE #3,9665,190.0,2020-02-29 05:00:00,2020
WSTU1,WIDTSOE #3,9665,29.0,2021-03-01 04:00:00,2021
WSTU1,WIDTSOE #3,9665,32.0,2022-03-01 05:00:00,2022
WSTU1,WIDTSOE #3,9665,52.0,2023-03-01 05:00:00,2023
WSTU1,WIDTSOE #3,9665,38.0,2024-02-29 05:00:00,2024
WSTU1,WIDTSOE #3,9665,9.0,2025-03-01 05:00:00,2025
